Source,Platform,Project,Run Number,Condition/Profile,Duration (seconds),Status
GitHub Actions API Scrape,GitHub Actions,Project C,15,Cold,48.691333950117915,Success
GitHub Actions API Scrape,GitHub Actions,Project C,16,Cold,56.06045542872817,Success
GitHub Actions API Scrape,GitHub Actions,Project C,17,Cold,50.55158306247406,Success
GitHub Actions API Scrape,GitHub Actions,Project C,18,Cold,44.97918055826763,Success
GitHub Actions API Scrape,GitHub Actions,Project C,19,Cold,49.06971029028408,Success
GitHub Actions API Scrape,GitHub Actions,Project C,1,Warm,24.486355227680985,Success
GitHub Actions API Scrape,GitHub Actions,Project C,2,Warm,25.728329756419075,Success
GitHub Actions API Scrape,GitHub Actions,Project C,3,Warm,20.87813710557178,Success
GitHub Actions API Scrape,GitHub Actions,Project C,4,Warm,23.49620609675047,Success
GitHub Actions API Scrape,GitHub Actions,Project C,5,Warm,22.843759482705387,Success
GitHub Actions API Scrape,GitHub Actions,Project C,6,Warm,24.473991260826676,Success
GitHub Actions API Scrape,GitHub Actions,Project C,7,Warm,24.40156093801436,Success
GitHub Actions API Scrape,GitHub Actions,Project C,8,Warm,24.65568948053946,Success
GitHub Actions API Scrape,GitHub Actions,Project C,9,Warm,25.3489703739793,Success
GitHub Actions API Scrape,GitHub Actions,Project C,10,Warm,23.651886917489882,Success
GitHub Actions API Scrape,GitHub Actions,Project C,11,Warm,25.560279430132198,Success
GitHub Actions API Scrape,GitHub Actions,Project C,12,Warm,23.233483737099093,Success
GitHub Actions API Scrape,GitHub Actions,Project C,13,Warm,23.181363032105097,Success
GitHub Actions API Scrape,GitHub Actions,Project C,14,Warm,24.6870783731169,Success
GitHub Actions API Scrape,GitHub Actions,Project C,15,Warm,24.392550632198787,Success
GitHub Actions API Scrape,GitHub Actions,Project C,16,Warm,22.03444800613593,Success
GitHub Actions API Scrape,GitHub Actions,Project C,17,Warm,22.057214868099784,Success
GitHub Actions API Scrape,GitHub Actions,Project C,18,Warm,20.95533425225898,Success
GitHub Actions API Scrape,GitHub Actions,Project C,1,Parallel,22.040665383397887,Success
GitHub Actions API Scrape,GitHub Actions,Project C,2,Parallel,20.950736122013957,Success
GitHub Actions API Scrape,GitHub Actions,Project C,3,Parallel,20.70822936827959,Success
GitHub Actions API Scrape,GitHub Actions,Project C,4,Parallel,18.865088060596587,Success
GitHub Actions API Scrape,GitHub Actions,Project C,5,Parallel,17.483078579111112,Success
GitHub Actions API Scrape,GitHub Actions,Project C,6,Parallel,19.605240711027072,Success
GitHub Actions API Scrape,GitHub Actions,Project C,7,Parallel,19.917782336465685,Success
GitHub Actions API Scrape,GitHub Actions,Project C,8,Parallel,20.022357782459526,Success
GitHub Actions API Scrape,GitHub Actions,Project C,9,Parallel,20.168530372515367,Success
GitHub Actions API Scrape,GitHub Actions,Project C,10,Parallel,22.233462703697366,Success
GitHub Actions API Scrape,GitHub Actions,Project C,11,Parallel,18.024152558483166,Success
GitHub Actions API Scrape,GitHub Actions,Project C,12,Parallel,16.56558412178102,Success
GitHub Actions API Scrape,GitHub Actions,Project C,13,Parallel,19.31581369630755,Success
GitHub Actions API Scrape,GitHub Actions,Project C,14,Parallel,17.001093478572834,Success
GitHub Actions API Scrape,GitHub Actions,Project C,15,Parallel,22.740611799202473,Success
